stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
7976,3060,22 & Cuming St NW,,41.26797,-95.946042,0,1
3724,3059,24th & Cuming NW,,41.26796,-95.947808,0,1
7472,1014,25th Ave & Cuming NE,,41.26795,-95.949292,0,1
7407,1015,27th & Cuming NE,,41.26795,-95.951077,0,1
8511,1016,29th & Cuming NE,,41.26796,-95.954632,0,1
6757,3058,30th & Cuming NW,,41.2678844698545,-95.9571114345114,0,1
1873,1018,32nd & Cuming NE,,41.26797,-95.960222,0,1
1876,3057,33rd & Cuming NW,,41.26797,-95.961668,0,1
2195,1020,36th & Cuming NE,,41.2679241571476,-95.9663056784417,0,1
2236,1021,38th & Cuming NE,,41.26794,-95.968762,0,1
3473,3056,40th & Cuming NE,,41.26796,-95.972783,0,1
2425,1023,42nd & Cuming NE,,41.26793,-95.975975,0,1
1032,1024,43rd Ave & Cuming NE,,41.26794,-95.977963,0,1
1036,1025,45th & Cuming NE,,41.26794,-95.980167,0,1
2455,1026,NW Radial Hwy & Nicholas NE,,41.2701567996282,-95.9829209304833,0,1
1055,1027,NW Radial Hwy & Hamilton SE,,41.2720791639483,-95.9834758085837,0,1
2469,1028,NW Radial Hwy & Seward SE,,41.274088,-95.98336,0,1
3089,1029,NW Radial Hwy & Decatur SE,,41.276187,-95.98338,0,1
3097,1030,NW Radial Hwy & Burdette SE,,41.278652,-95.98339,0,1
1113,1031,48th & NW Radial Hwy NE,,41.28151,-95.98526,0,1
2122,1032,49th & NW Radial Hwy NE,,41.2814711738587,-95.9872002664104,0,1
3112,1033,50th & NW Radial Hwy NW,,41.2817811279827,-95.990766143167,0,1
1673,1034,51st/Miami & NW Radial Hwy NW,,41.2832807839437,-95.9932148220054,0,1
3190,1035,52nd & NW Radial Hwy NE,,41.2844123251318,-95.9950120386643,0,1
9418,2987,52nd & NW Radial Hwy NW,,41.28471,-95.99545,0,1
1691,3003,NW Radial & 54th NE,,41.2850395055186,-95.9973651125629,0,1
1702,1037,NW Radial & 56th NE,,41.2850118040898,-95.9992264973526,0,1
1595,1038,Maple & NW Radial Hwy NW,,41.28498,-96.003061,0,1
3098,3055,60th & Maple NW,,41.285,-96.005122,0,1
1693,1040,61st & Maple NE,,41.285,-96.007015,0,1
3078,1041,63rd & Maple NE,,41.285,-96.009464,0,1
2468,1042,65th & Maple NE,,41.28502,-96.011899,0,1
2457,1043,66th Ave & Maple NE,,41.28503,-96.014829,0,1
2458,1044,67th Ave & Maple NE,,41.28503,-96.016624,0,1
2449,1045,69th & Maple NE,,41.28505,-96.019041,0,1
1532,1046,70th Ave & Maple NE,,41.2850591343396,-96.0214252550881,0,1
689,3054,72nd & Maple NE,,41.28512,-96.023621,0,1
7136,1048,73rd & Maple MB,,41.28513,-96.025633,0,1
2243,1049,75th & Maple NE,,41.28513,-96.0288,0,1
2237,1050,76th/Benson Gardens & Maple NE,,41.28512,-96.030943,0,1
2233,1051,78th & Maple NE,,41.28512,-96.033309,0,1
2193,1052,80th & Maple NE,,41.28512,-96.036525,0,1
2190,1053,81st & Maple NE,,41.28512,-96.038829,0,1
2187,1054,83rd & Maple NE,,41.28513,-96.04193,0,1
1875,1055,85th & Maple NE,,41.28513,-96.04448,0,1
1871,1056,Keystone Dr & Maple NE,,41.28513,-96.046656,0,1
8512,1057,88th & Maple NE,,41.285137076,-96.048613332,0,1
1858,3053,90th & Maple NW,,41.2851468656868,-96.0531068636518,0,1
1825,1059,93rd & Maple NE,,41.28514,-96.055676,0,1
1823,1060,94th Ave & Maple NW,,41.2851468809258,-96.0587868600086,0,1
1759,1061,97th & Maple NE,,41.28514,-96.064202,0,1
1757,1062,Maplewood Blvd & Maple NE,,41.28517,-96.06652,0,1
8513,1063,Maplewood Blvd & Maple NE,,41.28516,-96.068022,0,1
1737,1064,102nd & Maple SW,,41.2846012477178,-96.0717360460581,0,1
1642,1065,102nd & Ohio NW,,41.281975,-96.07172,0,1
9366,1066,102nd & Grant NW,,41.2799557261042,-96.0717035549547,0,1
9158,3052,102nd & Blondo NW,,41.278049840892,-96.0717458854727,0,1
1144,1068,102nd Ave & 102nd NW,,41.275848,-96.07179,0,1
1037,1069,102nd & Seward NW,,41.2733847505333,-96.0717787782918,0,1
3889,1070,102nd & Hamilton NW,,41.2718934753539,-96.0718139648725,0,1
9739,3629,102nd st & Nicholas SW,,41.2684537538844,-96.0717952815413,0,1
6241,3630,Regency Pkwy & N Regency Cir NW,,41.2604867944573,-96.0691612078522,0,1
6308,3631,Regency Pkwy & S Regency Cir NE,,41.2579487154358,-96.0724809695485,0,1
6353,3632,Regency Cir & Marriott SE,,41.2602521951219,-96.0726047560976,0,1
9420,1267,102nd & Westroads Entr 4 MB,,41.2664014119146,-96.0714674869267,0,1
9627,3272,Westroads TC Bay 4,,41.268666,-96.07124,0,1
9609,3260,North Omaha TC Bay 12,,41.2980559989104,-95.9579770286006,0,1
1534,2816,30th & Ames SE,,41.2993616459844,-95.9565359014599,0,1
6362,1668,Ames & 29th SE,,41.299582691434,-95.9551350567913,0,1
4348,1669,Ames & 25th SW,,41.2996184639261,-95.949514328866,0,1
4400,3027,Ames & 24th SW,,41.29963,-95.947109,0,1
3763,2890,24th & Sahler NW,,41.297004,-95.94698,0,1
8845,3030,24th & Sprague NW,,41.2961752014762,-95.9469726583487,0,1
4387,2891,24th & Spaulding NW,,41.294494802702,-95.9469784837838,0,1
3755,3216,24th & Pratt SW,,41.2920165606001,-95.9469829238274,0,1
4376,2893,24th & Pinkney SW,,41.29039,-95.94699,0,1
3744,2894,24th & Bristol SW,,41.28929,-95.94699,0,1
3672,2895,24th & Spencer NW,,41.287992,-95.947,0,1
4364,2896,24th & Binney NW,,41.286127,-95.94701,0,1
3729,2897,24th & Maple NW,,41.284788,-95.94702,0,1
5709,2898,24th & Miami NW,,41.283448,-95.94702,0,1
3725,2899,24th & Lake NW,,41.281646,-95.94703,0,1
3750,2900,24th & Grant NW,,41.280182,-95.94704,0,1
3752,2901,24th & Burdette NW,,41.2793662765071,-95.9470465717256,0,1
3676,2902,24th & Blondo SW,,41.277291,-95.94704,0,1
3745,2903,24th & Decatur NW,,41.275743,-95.94704,0,1
3742,2904,24th & Seward NW,,41.273982,-95.94704,0,1
7486,2905,24th & Hamilton NW,,41.2721554556674,-95.9470245959908,0,1
6367,2906,24th & Metro Entrance NW,,41.269235,-95.94703,0,1
9655,3031,24th & Cuming NW,,41.268107,-95.94703,0,1
3686,2907,24th & California NW,,41.264953635647,-95.9470160362776,0,1
5297,2908,24th & Chicago NW,,41.2627943477551,-95.9470854466494,0,1
8846,2910,24th & Dodge NW,,41.2606465653171,-95.9468705745665,0,1
1766,2911,25th & Dodge SW,,41.2594158559259,-95.9482369360776,0,1
9656,2912,25th & Farnam NW,,41.2580282599772,-95.9482127434436,0,1
7272,2913,24th Ave & Harney NW,,41.2567720929334,-95.9476780087125,0,1
7445,3032,24th Ave & St Marys Ave SW,,41.2536665319588,-95.9474094969072,0,1
2637,3033,24th & Leavenworth NW,,41.252543,-95.94704,0,1
2643,2914,24th & Mason NW,,41.2509802908126,-95.9470819947125,0,1
2654,2915,24th & Pacific SW,,41.2488242344516,-95.9470364736221,0,1
7075,2916,24th & Poppleton NW,,41.247097,-95.94702,0,1
9176,2917,24th & Woolworth NW,,41.24542,-95.94702,0,1
9177,2918,24th & Hickory NW,,41.2434795967783,-95.9469928061996,0,1
