route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
5303,22cfb915-10dc-499d-a2ed-75087f529359,1aff8a3a-a08c-4a9f-be88-11ab9566b560,c23dc52e-e588-4baa-89b6-29dbd156c4be,North Omaha Transit Center,0,7fc66210-53fc-41ea-ba86-f34a4dbf8b24
5292,2cf01af7-25c6-41ea-83c8-a3291a8ef0fa,6718721e-d6fc-4f98-ad2b-65736361270e,7ab8f22e-bf3d-4f50-9ff1-3a825f7df3b2,To Downtown,1,3053464f-b673-40d2-890e-b46a2e90c663
5304,2cf01af7-25c6-41ea-83c8-a3291a8ef0fa,03cecb18-22ca-45b1-8176-42e9bdb4a593,c529b02a-2fd3-4738-8a93-f187c65c8882,,1,b0e807b4-8d7f-4ddd-84c3-7227d4731159
5292,28888329-2b26-4dea-b53e-2c7349386310,9821aabc-626b-4e0f-89b9-ddf2e80a476b,1c8d49c4-9679-4ac6-a05d-3d0c187f7fdf,To Westroads Transit Center,0,dbb40610-0153-4a52-b952-326462a9d8c1
5298,28888329-2b26-4dea-b53e-2c7349386310,26bdd8e5-c954-4fc7-82fc-dacb468c165f,60fd135f-e8f1-4b42-912e-6c848e2c163b,Downtown,1,b9ec4984-1613-437e-88df-89ea7adf189f
5305,22cfb915-10dc-499d-a2ed-75087f529359,028182b6-4402-4377-9406-0da39a3fa2e2,7668ea93-3092-4994-b66c-7ebb3707b413,,0,693708e7-d93c-4420-a68c-3953b49e3cea
5299,28888329-2b26-4dea-b53e-2c7349386310,516f2a11-16c7-42a7-82ab-d1a0c99d6bdd,9c808821-40b5-43ed-b2e1-7c3c6b675c11,to NOTC & Downtown via 72nd & Ames,1,7cacfdfc-b22d-4874-80bf-10a373cca6b6
5298,22cfb915-10dc-499d-a2ed-75087f529359,6d8d1172-a23c-495a-a7dc-81866787aad2,4434410f-185f-41ca-a694-e951406110d4,Aksarben Transit Center,0,a681da21-5b66-4a12-94c1-64e008d4da32
5305,28888329-2b26-4dea-b53e-2c7349386310,2afbe1b9-a470-4c76-9579-6cd840d995d7,7668ea93-3092-4994-b66c-7ebb3707b413,,0,3ac92121-c2c7-4cfb-893d-ad69f83f8865
5299,28888329-2b26-4dea-b53e-2c7349386310,4d4de7fd-4c1a-493d-ba9d-c08595b5126e,44ab4888-2d34-47b2-8a0a-56720fda5e07,Aksarben Transit Center,0,249ea575-1f9c-441c-8fed-2d5190bdb92d
5292,28888329-2b26-4dea-b53e-2c7349386310,d63c08a0-e508-4e13-ad97-7f50748e5c74,7ab8f22e-bf3d-4f50-9ff1-3a825f7df3b2,To Downtown,1,0cf8e999-34d4-48f0-95c9-1aa7c7a105e1
5304,28888329-2b26-4dea-b53e-2c7349386310,ba5c088f-002d-4f26-98f8-7c8aeadfa825,c529b02a-2fd3-4738-8a93-f187c65c8882,,1,be1eca91-5642-4625-9217-cfcdf3d775a3
5304,2cf01af7-25c6-41ea-83c8-a3291a8ef0fa,6509ea16-0899-447d-89d0-9adea263142a,f88c4da9-4097-42de-b96a-4f52c10380e6,,0,38b922bd-ff24-44aa-838f-c73514601286
5299,2cf01af7-25c6-41ea-83c8-a3291a8ef0fa,b1f807f0-29f7-460b-af62-1237b5faabfe,9c808821-40b5-43ed-b2e1-7c3c6b675c11,to NOTC & Downtown via 72nd & Ames,1,3a6182a7-0604-4594-8564-4d06363f296f
